,,0
ん,感動詞-フィラー,168
見え,動詞-一般,167
ず,助動詞,167
出る,動詞-一般,165
つい,五段-カ行,165
よろしく,,162
なく,助動詞,162
なく,形容詞-非自立可能,162
くる,動詞-非自立可能,161
なかっ,形容詞-非自立可能,160
もの,,160
やっ,動詞-非自立可能,160
おはよう,感動詞-一般,159
ああ,感動詞-一般,158
みたい,形状詞-助動詞語幹,157
リッツ,名詞-固有名詞-一般,156
ところ,,156
うん,感動詞-一般,156
とりあえず,,156
なんて,助詞-副助詞,156
でしょう,助動詞,155
言う,動詞-一般,154
真,接頭辞,153
まあ,副詞,152
出し,動詞-非自立可能,152
１,名詞-数詞,151
前,名詞-普通名詞-副詞可能,149
宿,名詞-普通名詞-一般,148
ねー,助詞-終助詞,147
食べ,動詞-一般,145
ちゃっ,助動詞,145
無い,形容詞-非自立可能,144
ください,動詞-非自立可能,144
ため,名詞-普通名詞-副詞可能,143
占い,動詞-一般,141
議題,名詞-普通名詞-一般,141
書,名詞-普通名詞-一般,139
しまっ,動詞-非自立可能,139
できる,動詞-非自立可能,139
ん,感動詞-一般,138
狂人,名詞-普通名詞-一般,138
良い,形容詞-非自立可能,137
たかっ,助動詞,136
可能,形状詞-一般,135
ござい,動詞-非自立可能,135
願い,動詞-非自立可能,134
申し訳,名詞-普通名詞-一般,133
られ,助動詞,133
ふむ,感動詞-一般,131
ゲルト,名詞-普通名詞-一般,131
モー,名詞-固有名詞-人名-一般,131
日,接尾辞-名詞的-助数詞,131
後,名詞-普通名詞-副詞可能,129
ヨア,名詞-普通名詞-一般,129
まだ,副詞,128
自分,名詞-普通名詞-一般,127
寝,動詞-一般,127
吊り,動詞-一般,126
初日,名詞-普通名詞-副詞可能,126
ええ,感動詞-一般,126
はい,感動詞-一般,126
で,接続詞,126
しか,助詞-副助詞,125
思い,動詞-一般,125
誰,代名詞,125
や,助詞-副助詞,125
ましょう,助動詞,124
っす,助動詞,124
そんな,連体詞,124
まぁ,副詞,123
手,名詞-普通名詞-助数詞可能,123
レジーナ,名詞-固有名詞-人名-一般,122
能力,名詞-普通名詞-一般,122
生き,動詞-一般,120
べ,助詞-終助詞,120
自由,名詞-普通名詞-形状詞可能,120
多数,名詞-普通名詞-副詞可能,120
好き,形状詞-一般,119
視点,名詞-普通名詞-一般,119
そこ,代名詞,119
まま,名詞-普通名詞-副詞可能,118
さ,助詞-終助詞,118
騙り,名詞-普通名詞-一般,117
あなた,代名詞,117
なぁ,助詞-終助詞,116
場合,名詞-普通名詞-副詞可能,116
しよう,動詞-非自立可能,115
ペタ,名詞-固有名詞-人名-一般,115
ネタ,名詞-普通名詞-一般,113
占っ,動詞-一般,113
い,助詞-終助詞,113
や,助動詞,112
セット,名詞-普通名詞-サ変可能,111
決,名詞-普通名詞-一般,111
ヴァルター,名詞-固有名詞-一般,111
状況,名詞-普通名詞-一般,110
5,名詞-数詞,110
かしら,助詞-終助詞,108
ジム,名詞-普通名詞-一般,107
じゃ,助詞-格助詞,106
意味,名詞-普通名詞-サ変可能,106
なり,動詞-非自立可能,105
こんな,連体詞,105
感じ,名詞-普通名詞-一般,104
仮,名詞-普通名詞-一般,104
ありがとう,感動詞-一般,104
トマ,名詞-固有名詞-人名-一般,104
なー,助詞-終助詞,103
本,接頭辞,102
実,名詞-普通名詞-一般,102
よく,副詞,100
目,名詞-普通名詞-一般,100
やっぱり,副詞,100
また,副詞,99
つ,接尾辞-名詞的-助数詞,99
